First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Loss,Draw
Yoshihiro,Takayama,NULL,77,280,NULL,Orthodox,1,4,0
Makoto,Takimoto,NULL,67,205,NULL,Southpaw,6,5,0
Oleg,Taktarov,The Russian Bear,72,210,NULL,Orthodox,17,5,2
Nordine,Taleb,NULL,73,170,74,Orthodox,15,7,0
Tsuyoshi,Tamakairiki,NULL,72,220,NULL,Orthodox,0,3,0
Eli,Tamez,Tomahawk,67,135,NULL,NULL,10,0,0
Kiyoshi,Tamura,NULL,71,185,NULL,Southpaw,32,13,3
Akitoshi,Tamura,The Ironman,69,135,70,Orthodox,21,18,2
Issei,Tamura,NULL,65,135,63,Orthodox,10,8,0
Jason,Tan,NULL,70,170,NULL,Orthodox,5,3,0
Akihito,Tanaka,Kinniku Mantaro,0,NULL,NULL,Southpaw,2,2,0
Michinori,Tanaka,NULL,65,135,67,Orthodox,11,3,0
Evan,Tanner,NULL,72,185,74,Orthodox,32,8,0
Manny,Tapia,The Mangler,65,135,67,Orthodox,12,14,1
Gary,Tapusoa,NULL,67,185,NULL,NULL,8,3,0
Miesha,Tate,Cupcake,66,125,65,Orthodox,19,9,0
Deividas,Taurosevicius,NULL,69,145,68,Southpaw,17,5,0
Thiago,Tavares,NULL,67,145,70,Orthodox,21,7,1
Jeremy,Tavares,NULL,0,135,NULL,NULL,1,6,0
Brad,Tavares,NULL,73,185,74,Orthodox,19,8,0
Paul,Taylor,Relentless,72,155,72,Orthodox,11,6,1
Jesse,Taylor,JT Money,72,170,73,Orthodox,31,15,0
Torrance,Taylor,NULL,67,155,NULL,NULL,13,8,1
Louis,Taylor,Handgunz,71,185,NULL,Orthodox,13,4,0
Anthony,Taylor,Pretty Boy,67,145,NULL,NULL,1,3,0
Danielle,Taylor,Dynamite,60,115,60,Orthodox,9,4,0
J.T,Taylor,The Outlaw,70,NULL,NULL,NULL,7,7,0
James,Te Huna,NULL,74,185,75,Orthodox,16,9,0
Shawn,Teed,NULL,77,265,NULL,Orthodox,5,2,0
Glover,Teixeira,NULL,74,205,76,Orthodox,33,8,0
John,Teixeira,Macapa,67,145,NULL,Orthodox,21,2,2
Ewerton,Teixeira,NULL,73,242,NULL,NULL,3,1,0
Tra,Telligman,Trauma,74,233,NULL,Orthodox,7,5,1
Taneisha,Tennant,Triple Threat,67,145,70,Orthodox,5,1,0
Herman,Terrado,NULL,0,170,NULL,NULL,15,3,1
Dave,Terrel,The Bionic,68,170,NULL,Southpaw,7,7,0
David,Terrell,The Soul Assassin,73,185,NULL,Southpaw,6,2,0
James,Terry,Intensity,70,170,NULL,Orthodox,19,9,0
Jeff,Terry,NULL,74,205,NULL,NULL,2,3,0
David,Teymur,NULL,69,155,73,Southpaw,8,2,0
Daniel,Teymur,Kid Dynamite,65,145,69,Orthodox,7,4,0
Motonobu,Tezuka,NULL,67,135,NULL,Southpaw,28,12,7
Jason,Thacker,NULL,70,185,NULL,Orthodox,0,1,0
Brandon,Thatch,Rukus,74,170,74,Switch,11,5,0
Elias,Theodorou,The Spartan,73,185,75,Orthodox,16,3,0
Nik,Theotikos,NULL,0,185,NULL,Orthodox,6,2,0
Paulo,Thiago,NULL,71,170,74,Orthodox,18,9,0
Din,Thomas,Dinyero,69,155,NULL,Orthodox,26,9,0
Ryan,Thomas,The Tank Engine,72,170,NULL,Orthodox,20,8,0
Noah,Thomas,NULL,69,135,NULL,Orthodox,14,7,0
Joel,Thomas,The NIce Guy,70,170,NULL,NULL,5,2,0
Treston,Thomison,NULL,68,145,NULL,NULL,10,6,0
Nick,Thompson,The Goat,73,170,74,Orthodox,38,14,1
James,Thompson,The Colossus,77,265,NULL,Orthodox,20,16,0
Oli,Thompson,NULL,73,242,NULL,Orthodox,17,10,0
Stephen,Thompson,Wonderboy,72,170,75,Orthodox,16,6,1
Josh,Thomson,The Punk,70,155,71,Orthodox,22,9,0
Simeon,Thoresen,The Grin,73,170,79,Orthodox,17,6,1
Josh,Thornburg,NULL,72,170,NULL,NULL,8,8,0
Gleison,Tibau,NULL,70,155,71,Southpaw,33,14,0
Chris,Tickle,BadBoy,69,155,NULL,NULL,9,9,0
Nolan,Ticman,NULL,66,125,NULL,Orthodox,4,3,0
Darren,Till,The Gorilla,72,185,74,Southpaw,18,4,1
Brett,Tillis,NULL,0,145,NULL,NULL,0,0,0
Denis,Tiuliulin,NULL,73,185,77,Orthodox,11,6,0
Ryan,Tobar,NULL,0,155,NULL,NULL,3,3,0
Andrew,Todhunter,The Sniper,72,185,NULL,Switch,8,0,0
Dusko,Todorovic,Thunder,73,185,74,Orthodox,12,3,0
Tuco,Tokkos,NULL,76,205,75,Orthodox,7,3,0
Hideo,Tokoro,NULL,67,135,NULL,Orthodox,34,29,2
Anatoly,Tokov,NULL,70,185,NULL,NULL,25,2,0
Kazuki,Tokudome,NULL,71,155,73,Southpaw,18,7,1
Tyler,Toner,NULL,68,145,70,Orthodox,15,7,0
James,Toney,Lights Out,69,220,NULL,Orthodox,0,1,0
Masanori,Tonooka,NULL,68,185,NULL,Orthodox,1,2,0
Carl,Toomey,NULL,0,NULL,NULL,NULL,3,3,0
Ilia,Topuria,El Matador,67,145,69,Orthodox,12,0,0
Anthony,Torres,The Crush,68,170,NULL,Orthodox,5,3,0
Miguel,Torres,NULL,69,135,76,Orthodox,44,9,0
Ronys,Torres,NULL,67,155,NULL,Orthodox,35,5,0
Haven,Torres,NULL,0,125,NULL,NULL,0,0,0
Tecia,Torres,The Tiny Tornado,61,115,60,Orthodox,13,6,0
Alex,Torres,Rolo,70,145,NULL,Orthodox,5,4,0
Abram,Torres,NULL,70,170,NULL,NULL,4,3,0
Jose,Torres,Shorty,64,125,65,Orthodox,8,1,0
Desmond,Torres,NULL,66,135,69,Orthodox,7,2,0
Manuel,Torres,El Loco,70,155,73,NULL,13,2,0
Salim,Touahri,Grizzly,70,170,72,Orthodox,10,4,0
Dequan,Townsend,The Tarantula,75,205,79,Orthodox,21,12,0
